track_name,last_played_date,is_user_initiated,artist_name,track_name_clean
Maxine Sullivan and Her Orchestra - Loch Lomond,1738443994189,True,Maxine Sullivan and Her Orchestra,Loch Lomond
Miff Mole's Molers - A Hot Time In the Old Town Tonight,1738444162837,False,Miff Mole's Molers,A Hot Time In the Old Town Tonight
Miff Mole's Molers - A Hot Time In the Old Town Tonight,1738444162837,True,Miff Mole's Molers,A Hot Time In the Old Town Tonight
Nelson Eddy - Nearer My God to Thee,1738444352062,False,Nelson Eddy,Nearer My God to Thee
Nelson Eddy - Nearer My God to Thee,1738444352062,True,Nelson Eddy,Nearer My God to Thee
"John Denver - Take Me Home, Country Roads (Original Version)",1624130009055,False,John Denver,"Take Me Home, Country Roads (Original Version)"
"John Denver - Take Me Home, Country Roads (Original Version)",1624130009055,True,John Denver,"Take Me Home, Country Roads (Original Version)"
Marilyn Monroe - My Heart Belongs to Daddy,1676397503589,False,Marilyn Monroe,My Heart Belongs to Daddy
Marilyn Monroe - My Heart Belongs to Daddy,1676397503589,True,Marilyn Monroe,My Heart Belongs to Daddy
Marilyn Monroe - Diamonds Are the Girl's Best Friend,1676397742571,False,Marilyn Monroe,Diamonds Are the Girl's Best Friend
Marilyn Monroe - Diamonds Are the Girl's Best Friend,1676397742571,True,Marilyn Monroe,Diamonds Are the Girl's Best Friend
The Burlington Brass - Police Academy (Tv Serie1997 - Titelmusik),1609342467083,False,The Burlington Brass - Police Academy (Tv Serie1997,Titelmusik)
The Burlington Brass - Police Academy (Tv Serie1997 - Titelmusik),1609342467083,True,The Burlington Brass - Police Academy (Tv Serie1997,Titelmusik)
The 20th Century Fox Orchestra - The Troika,1702234609469,False,The 20th Century Fox Orchestra,The Troika
The 20th Century Fox Orchestra - The Troika,1702234609469,True,The 20th Century Fox Orchestra,The Troika
The 20th Century Fox Orchestra - The Meeting / Recognition,1702234651275,False,The 20th Century Fox Orchestra,The Meeting / Recognition
The 20th Century Fox Orchestra - The Meeting / Recognition,1702234651275,True,The 20th Century Fox Orchestra,The Meeting / Recognition
Thomas Newman - Long Old Life,1729611924278,False,Thomas Newman,Long Old Life
Thomas Newman - Long Old Life,1729611924278,True,Thomas Newman,Long Old Life
Thomas Newman - This Is the Day,1729611971737,False,Thomas Newman,This Is the Day
Thomas Newman - This Is the Day,1729611971737,True,Thomas Newman,This Is the Day
Thomas Newman - The Chimes at Midnight,1729612130053,False,Thomas Newman,The Chimes at Midnight
Thomas Newman - The Chimes at Midnight,1729612130053,True,Thomas Newman,The Chimes at Midnight
Thomas Newman - Road to Jaipur,1729612219591,False,Thomas Newman,Road to Jaipur
Thomas Newman - Road to Jaipur,1729612219591,True,Thomas Newman,Road to Jaipur
Thomas Newman - Night Bus,1729612295441,False,Thomas Newman,Night Bus
Thomas Newman - Night Bus,1729612295441,True,Thomas Newman,Night Bus
Thomas Newman - Tuk Tuks,1729612396990,False,Thomas Newman,Tuk Tuks
Thomas Newman - Tuk Tuks,1729612396990,True,Thomas Newman,Tuk Tuks
Thomas Newman - The Best Exotic Marigold Hotel,1729612562454,False,Thomas Newman,The Best Exotic Marigold Hotel
Thomas Newman - The Best Exotic Marigold Hotel,1729612562454,True,Thomas Newman,The Best Exotic Marigold Hotel
Thomas Newman - Assault On the Senses,1729612579244,False,Thomas Newman,Assault On the Senses
Thomas Newman - Assault On the Senses,1729612579244,True,Thomas Newman,Assault On the Senses
Thomas Newman - Anokhi,1728853727677,False,Thomas Newman,Anokhi
Thomas Newman - Anokhi,1728853727677,True,Thomas Newman,Anokhi
Thomas Newman - Cricket Spell,1728853952572,False,Thomas Newman,Cricket Spell
